order,trial_index,time_elapsed,cwid,StartTime,EndTime,rt,word_pair,answer,SHに基づく得点,SH：補足,PickedSample,Classification_ksm,Classification_oka,ageement,CR_ksm,CR_oka,FinalRating,Note_ksm,Note_oka
18,19,174541,275026,44928.9242,44928.92715,10593,記憶 - 牢獄,閉じ込められる,2,NA,0,,2,,,,2,,
19,20,186984,275026,44928.9242,44928.92715,12435,鍵 - 答え,次へ開く,1,NA,1,,1,,,,1,,
20,21,194094,275026,44928.9242,44928.92715,7101,結婚 - 合金,合わさる,2,結合すると同義,0,,2,,,,2,,
21,22,198989,275026,44928.9242,44928.92715,4885,思考 - 網,ネットワーク,2,v3で2点に変更,0,,2,,,,2,,
22,23,241823,275026,44928.9242,44928.92715,42824,学位 - 橋,次へ繋がる,2,NA,0,,2,,,,2,,
23,24,248322,275026,44928.9242,44928.92715,6487,美術館 - 墓,静か,1,部分的に特徴が一致している,0,,1,,,,1,,
24,25,252457,275026,44928.9242,44928.92715,4126,若者 - 鳥,羽ばたく,2,新規項目,0,,2,,,,2,,
25,2,36755,138525,44928.92541,44928.92867,9829,鳥 - 飛行機,飛ぶ,2,NA,1,2,2,1,,,2,,NA
26,3,43539,138525,44928.92541,44928.92867,6768,剣 - 拳銃,殺す,1,殺すという共通点だけ,1,1,1,1,,,1,,殺すという共通点だけ
27,4,50203,138525,44928.92541,44928.92867,6660,みかん - ボール,丸い,1,NA,0,,1,,,,1,,
28,5,57259,138525,44928.92541,44928.92867,7053,太陽 - 電球,照らす,2,NA,1,2,2,1,,,2,,NA
29,6,62219,138525,44928.92541,44928.92867,4958,紙 - 葉っぱ,薄い,1,NA,0,,1,,,,1,,
30,7,68891,138525,44928.92541,44928.92867,6669,山頂 - 針,尖っている,2,NA,0,,2,,,,2,,
31,8,77459,138525,44928.92541,44928.92867,8566,道 - 川,真っ直ぐ,1,真っ直ぐ伸びるとは限らないが,0,,1,,,,1,,
32,9,92819,138525,44928.92541,44928.92867,15357,愛 - 薬物,止められない,2,"2点とした（1→2, v3）",0,,2,,,,2,,
33,10,98795,138525,44928.92541,44928.92867,5974,山 - 障害物,大きい,1,SHにない(難しさ),0,,1,,,,1,,
34,11,115227,138525,44928.92541,44928.92867,16429,輪っか - ネックレス,真ん中が空いている,1,NA,0,,1,,,,1,,
35,12,131123,138525,44928.92541,44928.92867,15893,孤独 - 砂漠,寂しい,1,悲しいの同義; SHにない,0,,1,,,,1,,
36,13,143835,138525,44928.92541,44928.92867,12709,なぞなぞ - 迷宮,謎解き,2,パズルと同義か,0,,2,,,,2,,
37,14,155012,138525,44928.92541,44928.92867,11173,時間 - 川,流れる,2,NA,0,,2,,,,2,,
38,15,165939,138525,44928.92541,44928.92867,10925,会社 - 木,軸,0,不完全な回答,0,,0,,,,0,,
39,16,174075,138525,44928.92541,44928.92867,8133,酒場 - 教会,集合場所,2,SHにないが全体的特徴は捉えている,0,,2,,,,2,,
40,17,184499,138525,44928.92541,44928.92867,10422,理論 - 建物,構造,2,組織的な構造と同義か,0,,2,,,,2,,
41,18,193466,138525,44928.92541,44928.92867,8965,ダイヤモンド - 雪片,輝いている,1,NA,0,,1,,,,1,,
42,19,216530,138525,44928.92541,44928.92867,23061,記憶 - 牢獄,苦痛,1,ストレスにつながると同義,0,,1,,,,1,,
43,20,229474,138525,44928.92541,44928.92867,12942,鍵 - 答え,開く,1,NA,0,,1,,,,1,,
44,21,237091,138525,44928.92541,44928.92867,7614,結婚 - 合金,幸福,0,合金に幸福は含まれない,0,,0,,,,0,,
45,22,248355,138525,44928.92541,44928.92867,11262,思考 - 網,入り乱れる,1,つながっていると同じ,0,,1,,,,1,,
46,23,261107,138525,44928.92541,44928.92867,12750,学位 - 橋,繋がる,2,NA,0,,2,,,,2,,
47,24,267451,138525,44928.92541,44928.92867,6342,美術館 - 墓,古い,1,部分的に特徴が一致している,0,,1,,,,1,,
48,25,278395,138525,44928.92541,44928.92867,10941,若者 - 鳥,若い,0,同語反復か,0,,0,,,,0,,
49,2,43650,266202,44928.92409,44928.92984,17485,鳥 - 飛行機,空を飛ぶ,2,NA,0,,2,,,,2,,
50,3,52058,266202,44928.92409,44928.92984,8406,剣 - 拳銃,武器となる,2,NA,1,2,2,1,,,2,,NA
51,4,61987,266202,44928.92409,44928.92984,9927,みかん - ボール,丸い,1,NA,0,,1,,,,1,,
52,5,69546,266202,44928.92409,44928.92984,7557,太陽 - 電球,光る,2,NA,0,,2,,,,2,,
53,6,82426,266202,44928.92409,44928.92984,12879,紙 - 葉っぱ,薄い,1,NA,0,,1,,,,1,,
54,7,96930,266202,44928.92409,44928.92984,14503,山頂 - 針,先端が細い,1,細く鋭いが尖るなので、細いだけだと部分,0,,1,,,,1,,
55,8,106058,266202,44928.92409,44928.92984,9126,道 - 川,細長い,1,NA,1,1,1,1,,,1,,NA
56,9,119331,266202,44928.92409,44928.92984,13271,愛 - 薬物,依存しやすい,2,"2点とした（1→2, v3）",1,2,2,1,,,2,,"2点とした（1→2, v3）"
57,10,128786,266202,44928.92409,44928.92984,9454,山 - 障害物,超えるのに苦労する,2,乗り越えなければと同義,0,,2,,,,2,,
58,11,191689,266202,44928.92409,44928.92984,62902,輪っか - ネックレス,細い輪状のもの,2,リング状の亜種,0,,2,,,,2,,
59,12,220281,266202,44928.92409,44928.92984,28590,孤独 - 砂漠,自分以外の存在が見えない,1,NA,0,,1,,,,1,,
60,13,250401,266202,44928.92409,44928.92984,30118,なぞなぞ - 迷宮,正解に辿り着きにくい,2,道筋が分かりにくいと同義か,1,2,2,1,,,2,,道筋が分かりにくいと同義か
61,14,257018,266202,44928.92409,44928.92984,6615,時間 - 川,流れる,2,NA,0,,2,,,,2,,
62,15,302050,266202,44928.92409,44928.92984,45030,会社 - 木,根が腐るとおしまい,1,強い基盤/土台を持つと同じか？; SHにない,0,,1,,,,1,,
63,16,309921,266202,44928.92409,44928.92984,7870,酒場 - 教会,人が集まる,2,NA,0,,2,,,,2,,
64,17,319978,266202,44928.92409,44928.92984,10055,理論 - 建物,設計が大事,1,設計していると同義か,0,,1,,,,1,,
65,18,336305,266202,44928.92409,44928.92984,16326,ダイヤモンド - 雪片,キラキラ光る,1,きらめくと同義; SHにない,0,,1,,,,1,,
66,19,348665,266202,44928.92409,44928.92984,12358,記憶 - 牢獄,囚われる,2,NA,0,,2,,,,2,,
67,20,369353,266202,44928.92409,44928.92984,20686,鍵 - 答え,合わないと役に立たない,1,SHにないが部分的特徴は捉えている,0,,1,,,,1,,
68,21,379674,266202,44928.92409,44928.92984,10319,結婚 - 合金,結びつきが大事,2,2つの要素を一緒にすると同義,0,,2,,,,2,,
69,22,403545,266202,44928.92409,44928.92984,23869,思考 - 網,あちこちに張り巡らせる,2,NA,0,,2,,,,2,,
70,23,462361,266202,44928.92409,44928.92984,58815,学位 - 橋,あれば役に立つこともある。,1,部分的に特徴が一致している,0,,1,,,,1,,
71,24,476617,266202,44928.92409,44928.92984,14254,美術館 - 墓,静か,1,NA,0,,1,,,,1,,
72,25,494473,266202,44928.92409,44928.92984,17855,若者 - 鳥,羽ばたく,2,NA,0,,2,,,,2,,
73,2,28747,4551146,44928.92588,44928.93012,17504,鳥 - 飛行機,空を飛ぶところ,2,NA,0,,2,,,,2,,
74,3,38541,4551146,44928.92588,44928.93012,9790,剣 - 拳銃,人を攻撃できるところ,1,攻撃するという共通点だけ,1,1,1,1,,,1,,攻撃するという共通点だけ
75,4,48059,4551146,44928.92588,44928.93012,9513,みかん - ボール,形が丸いところ,1,NA,0,,1,,,,1,,
76,5,59565,4551146,44928.92588,44928.93012,11501,太陽 - 電球,明かりとなるところ,2,光源と同じ,0,,2,,,,2,,
77,6,70429,4551146,44928.92588,44928.93012,10859,紙 - 葉っぱ,薄いところ,1,NA,0,,1,,,,1,,
78,7,78327,4551146,44928.92588,44928.93012,7894,山頂 - 針,とがっているところ,2,NA,0,,2,,,,2,,
79,8,99822,4551146,44928.92588,44928.93012,21490,道 - 川,長くのびているところ,1,NA,0,,1,,,,1,,
80,9,108857,4551146,44928.92588,44928.93012,9031,愛 - 薬物,依存性があるところ,2,"2点とした（1→2, v3）",0,,2,,,,2,,
81,10,127188,4551146,44928.92588,44928.93012,18326,山 - 障害物,越えなければならないところ,2,乗り越えなければと同義,0,,2,,,,2,,
82,11,143329,4551146,44928.92588,44928.93012,16136,輪っか - ネックレス,円状になっているところ,2,NA,0,,2,,,,2,,
83,12,151897,4551146,44928.92588,44928.93012,8563,孤独 - 砂漠,なにもないところ,2,孤立しているの同義; SHにない,0,,2,,,,2,,
84,13,159369,4551146,44928.92588,44928.93012,7467,なぞなぞ - 迷宮,悩むところ,1,複雑だと同じか,0,,1,,,,1,,
85,14,165699,4551146,44928.92588,44928.93012,6326,時間 - 川,流れているところ,2,NA,0,,2,,,,2,,
86,15,188289,4551146,44928.92588,44928.93012,22585,会社 - 木,成長するところ,1,NA,0,,1,,,,1,,
87,16,206391,4551146,44928.92588,44928.93012,18098,酒場 - 教会,賑やかなところ,1,人が集まるの下位概念か？,0,,1,,,,1,,
88,17,214013,4551146,44928.92588,44928.93012,7618,理論 - 建物,構築するところ,2,NA,0,,2,,,,2,,
89,18,227419,4551146,44928.92588,44928.93012,13401,ダイヤモンド - 雪片,形が似ているところ,1,SHにない,0,,1,,,,1,,
90,19,252399,4551146,44928.92588,44928.93012,24975,記憶 - 牢獄,囚われるところ,2,NA,1,2,2,1,,,2,,NA
91,20,285996,4551146,44928.92588,44928.93012,33593,鍵 - 答え,どちらも問題に関するもの,0,説明不足,0,,0,,,,0,,
92,21,297940,4551146,44928.92588,44928.93012,11939,結婚 - 合金,2つ結びつくところ,2,2つの要素を一緒にすると同義,0,,2,,,,2,,
93,22,307688,4551146,44928.92588,44928.93012,9743,思考 - 網,複雑なところ,1,新規項目,1,1,1,1,,,1,,新規項目
94,23,339620,4551146,44928.92588,44928.93012,31927,学位 - 橋,高いところへのぼっていくところ,1,そういう橋があるのは事実,0,,1,,,,1,,
95,24,350394,4551146,44928.92588,44928.93012,10770,美術館 - 墓,静かなところ,1,NA,0,,1,,,,1,,
96,25,364551,4551146,44928.92588,44928.93012,14154,若者 - 鳥,勢いがあるところ,1,部分的に特徴が一致している,0,,1,,,,1,,
97,2,29649,297683,44928.92615,44928.93041,16966,鳥 - 飛行機,飛ぶもの,2,NA,0,,2,,,,2,,
98,3,40141,297683,44928.92615,44928.93041,10472,剣 - 拳銃,武器である,2,NA,0,,2,,,,2,,
99,4,51816,297683,44928.92615,44928.93041,11671,みかん - ボール,丸いもの,1,NA,1,1,1,1,,,1,,NA
100,5,64414,297683,44928.92615,44928.93041,12594,太陽 - 電球,明るさを提供,1,明るいと近いか,0,,1,,,,1,,
101,6,76443,297683,44928.92615,44928.93041,12025,紙 - 葉っぱ,燃えやすい,1,燃えないものもあるから悩ましい,1,1,1,1,,,1,,燃えないものもあるから悩ましい
102,7,91571,297683,44928.92615,44928.93041,15124,山頂 - 針,尖っている,2,NA,0,,2,,,,2,,
103,8,107316,297683,44928.92615,44928.93041,15742,道 - 川,分岐している,1,分岐するとは限らないが,0,,1,,,,1,,
104,9,135920,297683,44928.92615,44928.93041,28600,愛 - 薬物,中毒になる可能性,2,NA,0,,2,,,,2,,
105,10,152206,297683,44928.92615,44928.93041,16282,山 - 障害物,通行の邪魔になる,2,NA,0,,2,,,,2,,
106,11,163992,297683,44928.92615,44928.93041,11778,輪っか - ネックレス,丸い,2,NA,0,,2,,,,2,,
107,12,180487,297683,44928.92615,44928.93041,16492,孤独 - 砂漠,死の可能性,1,SHにない(難しさ),0,,1,,,,1,,
108,13,197191,297683,44928.92615,44928.93041,16700,なぞなぞ - 迷宮,理解が難しい,1,複雑だと同じか,0,,1,,,,1,,
109,14,210964,297683,44928.92615,44928.93041,13771,時間 - 川,流れるもの,2,NA,0,,2,,,,2,,
110,15,229014,297683,44928.92615,44928.93041,18047,会社 - 木,屋台骨である,1,強い基盤/土台を持つと同じか？; SHにない,0,,1,,,,1,,
111,16,237431,297683,44928.92615,44928.93041,8414,酒場 - 教会,人が集う,2,NA,0,,2,,,,2,,
112,17,248548,297683,44928.92615,44928.93041,11114,理論 - 建物,組み立てるもの,2,構築するものと同義か,0,,2,,,,2,,
113,18,259165,297683,44928.92615,44928.93041,10613,ダイヤモンド - 雪片,きらきらしている,1,NA,1,1,1,1,,,1,,NA
114,19,270955,297683,44928.92615,44928.93041,11785,記憶 - 牢獄,閉じ込める,2,NA,0,,2,,,,2,,
115,20,291810,297683,44928.92615,44928.93041,20851,鍵 - 答え,解決策である,1,NA,1,,1,,,,1,,
116,21,304584,297683,44928.92615,44928.93041,12771,結婚 - 合金,指輪,1,SHにないが部分的特徴は捉えている,0,,1,,,,1,,
117,22,316628,297683,44928.92615,44928.93041,12041,思考 - 網,張り巡らせる,2,NA,0,,2,,,,2,,
118,23,335692,297683,44928.92615,44928.93041,19060,学位 - 橋,得るもの,0,橋は得るものではない（一般的に）,0,,0,,,,0,,
119,24,352052,297683,44928.92615,44928.93041,16356,美術館 - 墓,人が集う場所,1,NA,0,,1,,,,1,,
120,25,364075,297683,44928.92615,44928.93041,12020,若者 - 鳥,飛び立つ,2,NA,0,,2,,,,2,,
121,2,22350,276409,44928.92443,44928.93134,14267,鳥 - 飛行機,空を飛ぶ,2,NA,0,,2,,,,2,,
122,3,37053,276409,44928.92443,44928.93134,14700,剣 - 拳銃,人を傷つける,1,NA,0,,1,,,,1,,
123,4,44845,276409,44928.92443,44928.93134,7789,みかん - ボール,丸い,1,NA,0,,1,,,,1,,
124,5,58589,276409,44928.92443,44928.93134,13741,太陽 - 電球,丸くて光る,2,光が上位概念,0,,2,,,,2,,
125,6,73413,276409,44928.92443,44928.93134,14821,紙 - 葉っぱ,薄い,1,NA,0,,1,,,,1,,
126,7,82157,276409,44928.92443,44928.93134,8740,山頂 - 針,先がとがっている,2,NA,0,,2,,,,2,,
127,8,101629,276409,44928.92443,44928.93134,19469,道 - 川,長く続いている,1,NA,0,,1,,,,1,,
128,9,111021,276409,44928.92443,44928.93134,9389,愛 - 薬物,離れられない,2,"2点とした（1→2, v3）",0,,2,,,,2,,
129,10,122205,276409,44928.92443,44928.93134,11181,山 - 障害物,高い,1,高いとは限らないが,0,,1,,,,1,,
130,11,134349,276409,44928.92443,44928.93134,12140,輪っか - ネックレス,穴が開いている,1,真ん中に空白があるの亜種,0,,1,,,,1,,
131,12,146007,276409,44928.92443,44928.93134,11655,孤独 - 砂漠,他に何もない,2,孤立しているの同義; SHにない,0,,2,,,,2,,
132,13,152445,276409,44928.92443,44928.93134,6434,なぞなぞ - 迷宮,分からない,2,解決できないと同義,0,,2,,,,2,,
133,14,159029,276409,44928.92443,44928.93134,6582,時間 - 川,流れていく,2,NA,0,,2,,,,2,,
134,15,210541,276409,44928.92443,44928.93134,51509,会社 - 木,たくさん枝葉が付いている,2,分岐していると同義？/枝葉という表現は木だけにあてはまるか,0,,2,,,,2,,
135,16,258101,276409,44928.92443,44928.93134,47557,酒場 - 教会,人が集まる,2,NA,0,,2,,,,2,,
136,17,304143,276409,44928.92443,44928.93134,46038,理論 - 建物,しっかり組み立てられている,2,NA,1,2,2,1,,,2,,NA
137,18,333094,276409,44928.92443,44928.93134,28946,ダイヤモンド - 雪片,輝いている,1,NA,0,,1,,,,1,,
138,19,364164,276409,44928.92443,44928.93134,31062,記憶 - 牢獄,簡単に抜けられない,2,逃げられないと同義,0,,2,,,,2,,
139,20,424828,276409,44928.92443,44928.93134,60661,鍵 - 答え,合わせる,1,SHにないが部分的特徴は捉えている,0,,1,,,,1,,
140,21,449252,276409,44928.92443,44928.93134,24420,結婚 - 合金,組み合わさっている,1,NA,0,,1,,,,1,,
141,22,478228,276409,44928.92443,44928.93134,28973,思考 - 網,目がある,1,新規項目,0,,1,,,,1,,
142,23,512556,276409,44928.92443,44928.93134,34324,学位 - 橋,何かにつながる,2,NA,0,,2,,,,2,,
143,24,566092,276409,44928.92443,44928.93134,53533,美術館 - 墓,静か,1,NA,0,,1,,,,1,,
144,25,593667,276409,44928.92443,44928.93134,27573,若者 - 鳥,羽ばたく,2,NA,0,,2,,,,2,,
145,2,35900,707767,44928.92626,44928.93157,13220,鳥 - 飛行機,飛ぶもの,2,NA,0,,2,,,,2,,
146,3,44988,707767,44928.92626,44928.93157,9080,剣 - 拳銃,武器,2,NA,0,,2,,,,2,,
147,4,49107,707767,44928.92626,44928.93157,4111,みかん - ボール,丸い,1,NA,0,,1,,,,1,,
148,5,56051,707767,44928.92626,44928.93157,6935,太陽 - 電球,明るい,1,NA,0,,1,,,,1,,
149,6,64220,707767,44928.92626,44928.93157,8160,紙 - 葉っぱ,薄い,1,NA,0,,1,,,,1,,
150,7,75156,707767,44928.92626,44928.93157,10929,山頂 - 針,尖っている,2,NA,0,,2,,,,2,,
151,8,88660,707767,44928.92626,44928.93157,13496,道 - 川,長く続いている,1,NA,0,,1,,,,1,,
152,9,95083,707767,44928.92626,44928.93157,6414,愛 - 薬物,救う,0,人を救うとは限らない,0,,0,,,,0,,
153,10,100852,707767,44928.92626,44928.93157,5762,山 - 障害物,乗り越える,2,NA,0,,2,,,,2,,
154,11,123131,707767,44928.92626,44928.93157,22269,輪っか - ネックレス,円形,2,NA,0,,2,,,,2,,
155,12,136236,707767,44928.92626,44928.93157,13095,孤独 - 砂漠,乾く,0,砂漠にしかあてはまらない,0,,0,,,,0,,
156,13,173106,707767,44928.92626,44928.93157,36861,なぞなぞ - 迷宮,答えを導きだす,2,解決できると同義; SHにない,0,,2,,,,2,,
157,14,185963,707767,44928.92626,44928.93157,12851,時間 - 川,流れる,2,NA,0,,2,,,,2,,
158,15,207275,707767,44928.92626,44928.93157,21303,会社 - 木,成長,1,NA,0,,1,,,,1,,
159,16,217923,707767,44928.92626,44928.93157,10638,酒場 - 教会,人が集まる,2,NA,0,,2,,,,2,,
160,17,226086,707767,44928.92626,44928.93157,8157,理論 - 建物,たてる,1,SHと同義か; 構造についての言及がない,0,,1,,,,1,,
161,18,255774,707767,44928.92626,44928.93157,29678,ダイヤモンド - 雪片,結晶,2,結晶構造と同義,1,2,2,1,,,2,,結晶構造と同義
162,19,265193,707767,44928.92626,44928.93157,9410,記憶 - 牢獄,閉じ込める,2,NA,0,,2,,,,2,,
163,20,324428,707767,44928.92626,44928.93157,59220,鍵 - 答え,ポイント,0,説明不足,0,,0,,,,0,,
164,21,335499,707767,44928.92626,44928.93157,11062,結婚 - 合金,固い,1,SHにないが部分的特徴は捉えている,0,,1,,,,1,,
165,22,368890,707767,44928.92626,44928.93157,33384,思考 - 網,巡らせる,2,張り巡らせると同義か,1,2,2,1,,,2,,張り巡らせると同義か
166,23,429204,707767,44928.92626,44928.93157,60305,学位 - 橋,綱渡り,1,落ち着かないは部分一致,0,,1,,,,1,,
167,24,440955,707767,44928.92626,44928.93157,11742,美術館 - 墓,眠る,2,人/ものが眠るはありそう,1,1,2,0,2,2,2,,人/ものが眠るはありそう（採点基準には眠るを入れているが）
168,25,456787,707767,44928.92626,44928.93157,15824,若者 - 鳥,真似,0,意味不明,0,,0,,,,0,,
169,2,51270,4660661,44928.92493,44928.93228,22622,鳥 - 飛行機,空を飛んでいる,2,NA,0,,2,,,,2,,
170,3,57685,4660661,44928.92493,44928.93228,6412,剣 - 拳銃,武器,2,NA,0,,2,,,,2,,
171,4,68023,4660661,44928.92493,44928.93228,10333,みかん - ボール,丸い形,1,NA,0,,1,,,,1,,
172,5,73591,4660661,44928.92493,44928.93228,5563,太陽 - 電球,明るい,1,NA,0,,1,,,,1,,
173,6,103238,4660661,44928.92493,44928.93228,29642,紙 - 葉っぱ,木から出来ている,2,木製なら2→同地とみなす,1,2,2,1,,,2,,木製なら2→同地とみなす
174,7,110781,4660661,44928.92493,44928.93228,7538,山頂 - 針,尖っている,2,NA,0,,2,,,,2,,
175,8,129233,4660661,44928.92493,44928.93228,18448,道 - 川,長く続いている,1,NA,0,,1,,,,1,,
176,9,145107,4660661,44928.92493,44928.93228,15870,愛 - 薬物,依存している,2,"2点とした（1→2, v3）",0,,2,,,,2,,
177,10,154779,4660661,44928.92493,44928.93228,9668,山 - 障害物,立ちはだかっている,2,障害になると胴着か,0,,2,,,,2,,
178,11,177910,4660661,44928.92493,44928.93228,23126,輪っか - ネックレス,輪になって繋がっている,2,閉じた輪の亜種,0,,2,,,,2,,
179,12,192496,4660661,44928.92493,44928.93228,14582,孤独 - 砂漠,何もないような,2,NA,0,,2,,,,2,,
180,13,212762,4660661,44928.92493,44928.93228,20261,なぞなぞ - 迷宮,こんがらがっている,1,複雑だと同義; SHにない,0,,1,,,,1,,
181,14,235854,4660661,44928.92493,44928.93228,23089,時間 - 川,ずっと続いている,1,連続すると同義か,1,2,1,0,1,1,1,,連続すると同義か
182,15,251224,4660661,44928.92493,44928.93228,15367,会社 - 木,そびえ立っている,1,SHにないが部分的特徴は捉えている,0,,1,,,,1,,
183,16,299880,4660661,44928.92493,44928.93228,48652,酒場 - 教会,人が集まる場所,2,NA,0,,2,,,,2,,
184,17,325657,4660661,44928.92493,44928.93228,25774,理論 - 建物,考えに基づかれている,1,アイデアから生まれると同義か,0,,1,,,,1,,
185,18,338635,4660661,44928.92493,44928.93228,12973,ダイヤモンド - 雪片,結晶,2,NA,0,,2,,,,2,,
186,19,345413,4660661,44928.92493,44928.93228,6774,記憶 - 牢獄,囚われている,2,NA,1,2,2,1,,,2,,NA
187,20,377192,4660661,44928.92493,44928.93228,31776,鍵 - 答え,どちらも英語でキーという,0,同義語に関する説明,0,,0,,,,0,,
188,21,419063,4660661,44928.92493,44928.93228,41866,結婚 - 合金,硬い石（意思）で出来ている,1,SHにないが部分的特徴は捉えている,0,,1,,,,1,,
189,22,437113,4660661,44928.92493,44928.93228,18046,思考 - 網,絡み合っている,1,新規項目,0,,1,,,,1,,
190,23,553194,4660661,44928.92493,44928.93228,116078,学位 - 橋,多くを繋いでいる,2,NA,1,,2,,,,2,,
191,24,563665,4660661,44928.92493,44928.93228,10467,美術館 - 墓,静かな場所,1,NA,0,,1,,,,1,,
192,25,633155,4660661,44928.92493,44928.93228,69485,若者 - 鳥,（思考など）飛んでいる,0,思考が飛ぶかは微妙,1,,0,,,,0,,
193,2,29510,4632782,44928.9287,44928.93244,16408,鳥 - 飛行機,飛ぶ,2,NA,0,,2,,,,2,,
194,3,40749,4632782,44928.9287,44928.93244,11237,剣 - 拳銃,戦いに使う,1,NA,0,,1,,,,1,,
195,4,45919,4632782,44928.9287,44928.93244,5166,みかん - ボール,丸い,1,NA,0,,1,,,,1,,
196,5,50453,4632782,44928.9287,44928.93244,4530,太陽 - 電球,明るい,1,NA,0,,1,,,,1,,
197,6,56877,4632782,44928.9287,44928.93244,6420,紙 - 葉っぱ,薄い,1,NA,0,,1,,,,1,,
198,7,65681,4632782,44928.9287,44928.93244,8801,山頂 - 針,尖っている,2,NA,0,,2,,,,2,,
199,8,73928,4632782,44928.9287,44928.93244,8244,道 - 川,続いている,1,NA,0,,1,,,,1,,
200,9,87053,4632782,44928.9287,44928.93244,13122,愛 - 薬物,はまる,2,"2点とした（1→2, v3）",0,,2,,,,2,,
201,10,94447,4632782,44928.9287,44928.93244,7391,山 - 障害物,邪魔になる,2,NA,1,2,2,1,,,2,,NA
202,11,124631,4632782,44928.9287,44928.93244,30179,輪っか - ネックレス,つながっている,1,NA,0,,1,,,,1,,
203,12,130631,4632782,44928.9287,44928.93244,5996,孤独 - 砂漠,ひとりぼっち,2,孤立しているの同義; SHにない,0,,2,,,,2,,
204,13,141459,4632782,44928.9287,44928.93244,10825,なぞなぞ - 迷宮,ハマったら抜けられない,2,道筋が分かりにくいと同義か,0,,2,,,,2,,
205,14,152145,4632782,44928.9287,44928.93244,10683,時間 - 川,常に流れている,2,NA,0,,2,,,,2,,
206,15,181011,4632782,44928.9287,44928.93244,28863,会社 - 木,たっている,1,SHにないが部分的特徴は捉えている,1,1,1,1,,,1,,SHにないが部分的特徴は捉えている
207,16,191488,4632782,44928.9287,44928.93244,10473,酒場 - 教会,RPGに出てくる,1,一般的ではないが、部分,0,,1,,,,1,,
208,17,198903,4632782,44928.9287,44928.93244,7412,理論 - 建物,組み立てる,2,構築するものと同義か,0,,2,,,,2,,
209,18,219262,4632782,44928.9287,44928.93244,20355,ダイヤモンド - 雪片,細かい,1,繊細だと同義か,0,,1,,,,1,,
210,19,231312,4632782,44928.9287,44928.93244,12044,記憶 - 牢獄,深いところにもある,1,SHにないが部分的特徴は捉えている,1,1,1,1,,,1,,SHにないが部分的特徴は捉えている
211,20,251043,4632782,44928.9287,44928.93244,19728,鍵 - 答え,正解につながる,1,問題を解決すると同義か,0,,1,,,,1,,
212,21,261523,4632782,44928.9287,44928.93244,10476,結婚 - 合金,合わせる,2,NA,1,2,2,1,,,2,,NA
213,22,284615,4632782,44928.9287,44928.93244,23089,思考 - 網,つながっている,1,NA,0,,1,,,,1,,
214,23,290075,4632782,44928.9287,44928.93244,5457,学位 - 橋,高い,1,NA,0,,1,,,,1,,
215,24,306817,4632782,44928.9287,44928.93244,16738,美術館 - 墓,石がある,1,部分的に特徴が一致している,0,,1,,,,1,,
216,25,318535,4632782,44928.9287,44928.93244,11715,若者 - 鳥,自由がある,1,要相談; 2か1→1,0,,1,,,,1,,
